Account Name,Account Phone,Account Type,Billing Address,Billing City,Billing Country,Billing State/Province,Billing Street,Billing Zip/Postal Code,Shipping Address,Shipping City,Shipping Country,Shipping State/Province,Shipping Street,Shipping Zip/Postal Code
"testagainbill7","","Enterprise","","","","","","","","","","","",""
"testagainbill14","","Enterprise","","","","","","","","","","","",""
"testagainbill4","","Enterprise","","","","","","","","","","","",""
"testagainbill12","","Enterprise","","","","","","","","","","","",""
"testagainbill3","","Enterprise","","","","","","","","","","","",""
"testagainbill","","Enterprise","","","","","","","","","","","",""
"testagainbill11","","Enterprise","","","","","","","","","","","",""
"testagainbill16","","","","","","","","","","","","","",""
"testagainbill15","","Enterprise","","","","","","","","","","","",""
"testagainbill9","","Small Business","","","","","","","","","","","",""
"testagainbill6","","Enterprise","","","","","","","","","","","",""
"testagainbill10","","Enterprise","","","","","","","","","","","",""
"testagainbill5","","Enterprise","","","","","","","","","","","",""
"testagainbill8","","Enterprise","","","","","","","","","","","",""
"testagainbill2","","","","","","","","","","","","","",""
"Wellspring, Inc.","(512) 555-2110","Mid-Market","[country:USA, city:Austin, countryCode:null, street:500 E 4th St, latitude:30.26535, postalCode:78701, geocodeAccuracy:Address, stateCode:null, state:TX, longitude:-97.738567]","Austin","USA","TX","500 E 4th St","78701","[country:USA, city:Austin, countryCode:null, street:500 E 4th St, latitude:30.26535, postalCode:78701, geocodeAccuracy:Address, stateCode:null, state:TX, longitude:-97.738567]","Austin","USA","TX","500 E 4th St","78701"
"Unknown Customer","","Person","","","","","","","","","","","",""
"Momentum Design","(520) 555-1982","Mid-Market","[country:USA, city:Prescott, countryCode:null, street:362 Monroe St., latitude:44.744272, postalCode:54021, geocodeAccuracy:Address, stateCode:null, state:WI, longitude:-92.790762]","Prescott","USA","WI","362 Monroe St.","54021","[country:USA, city:Prescott, countryCode:null, street:362 Monroe St., latitude:44.744272, postalCode:54021, geocodeAccuracy:Address, stateCode:null, state:WI, longitude:-92.790762]","Prescott","USA","WI","362 Monroe St.","54021"
